"id","income","height","weight","sex","race","education","asvab","sat_math","bdate"
293,45000,63,138,"female","hispanic",NA,89.741,450,11
294,96000,72,220,"male","hispanic",NA,64.58,650,5
295,11000,59,167,"female","hispanic",NA,NA,650,9
296,30000,61,125,"female","hispanic",NA,10.256,NA,12
298,47000,66,165,"female","other",NA,95.218,650,6
299,20000,71,225,"male","other",NA,18.566,NA,5
300,4000,64,112,"female","other",NA,NA,550,5
304,65000,70,215,"male","other",NA,80.09,450,2
307,77000,63,130,"female","other",NA,88.283,650,5
309,40000,NA,NA,"female","other",NA,27.426,550,4
315,12000,64,130,"female","other",NA,34.805,NA,1
321,75000,73,230,"male","other",NA,70.777,NA,10
322,52000,60,120,"female","other",19,55.736,550,6
323,78120,73,195,"male","other",NA,88.413,650,3
325,45000,67,166,"male","other",18,36.685,550,9
326,70000,NA,120,"female","other",NA,35.463,450,3
327,77000,63,125,"female","other",NA,NA,550,1
331,42840,63,150,"female","other",15,NA,NA,4
332,51000,62,130,"male","other",18,98.368,650,1
333,36000,62,126,"female","other",13,43.11,450,8
334,60000,64,135,"female","other",NA,67.241,550,1
335,27000,NA,NA,"female","other",16,81.833,450,6
336,81000,69,160,"male","black",20,48.416,450,2
337,95000,71,185,"male","other",NA,73.243,750,7
338,5000,62,115,"female","other",19,83.123,750,4
339,90000,62,137,"female","other",NA,69.403,550,9
341,33000,67,142,"male","other",NA,61.481,550,12
344,600,NA,56,"male","other",NA,NA,NA,3
345,5000,65,160,"male","other",NA,NA,NA,3
346,40000,67,180,"male","hispanic",NA,25.049,250,5
350,0,69,220,"male","other",NA,NA,NA,2
351,80000,66,190,"female","hispanic",16,NA,NA,6
354,28000,62,160,"female","hispanic",NA,NA,NA,7
355,55500,61,140,"female","hispanic",NA,NA,NA,12
356,22880,63,NA,"female","hispanic",NA,NA,450,10
357,46500,71,295,"male","hispanic",NA,NA,NA,9
358,42000,71,235,"male","hispanic",NA,NA,NA,2
359,35000,59,140,"female","hispanic",NA,NA,NA,1
360,92000,67,175,"male","hispanic",NA,NA,NA,9
362,33500,64,227,"female","hispanic",NA,59.187,550,4
363,25000,64,193,"female","hispanic",NA,51.107,450,11
366,54000,63,187,"female","hispanic",NA,45.232,NA,8
367,35000,67,170,"male","hispanic",NA,47.394,NA,6
368,29000,66,200,"female","hispanic",NA,10.479,NA,4
370,35421,71,210,"male","hispanic",NA,NA,NA,6
371,17000,66,165,"female","hispanic",10,16.245,NA,12
372,38000,73,181,"male","hispanic",NA,23.633,NA,6
373,38000,65,200,"female","hispanic",NA,7.915,NA,8
376,92000,73,280,"male","black",NA,NA,550,3
377,17000,67,132,"female","black",NA,NA,NA,12
378,50000,74,210,"male","black",NA,NA,450,2
382,40000,59,127,"female","other",NA,48.082,550,1
386,65000,70,230,"male","hispanic",NA,36.962,NA,6
387,7200,62,131,"female","hispanic",NA,11.738,NA,1
390,8000,66,205,"female","other",NA,NA,350,3
391,60000,68,160,"male","other",20,NA,750,3
392,42000,67,180,"male","hispanic",NA,95.143,550,1
393,20000,67,175,"male","hispanic",17,26.658,550,9
394,98000,69,192,"male","hispanic",17,85.233,550,10
395,12000,69,185,"male","other",18,NA,650,8
396,36000,70,145,"male","other",NA,60.488,NA,9
397,7000,72,180,"male","hispanic",NA,NA,NA,4
398,80000,69,200,"male","hispanic",NA,NA,NA,8
402,25000,67,159,"female","other",NA,NA,NA,7
404,55000,72,185,"male","other",NA,46.187,NA,3
408,35000,71,236,"male","black",13,50.883,350,5
409,36000,69,235,"female","black",NA,NA,NA,12
411,3000,65,206,"female","hispanic",NA,24.968,NA,2
413,25000,73,NA,"male","black",NA,NA,450,7
415,65000,68,200,"female","other",NA,16.817,350,12
416,180331,60,125,"female","other",NA,99.561,750,7
419,35000,74,205,"male","other",15,90.936,550,2
420,75000,70,210,"male","other",NA,NA,550,3
422,45000,65,160,"male","multiracial",NA,NA,450,1
423,24000,68,393,"female","multiracial",NA,NA,450,1
424,63500,65,122,"female","hispanic",NA,83.087,550,6
425,45000,66,145,"female","other",NA,96.531,550,8
426,6000,NA,179,"female","hispanic",NA,2.417,NA,12
427,25000,NA,183,"male","hispanic",NA,15.242,NA,11
432,100000,71,200,"male","hispanic",NA,20.973,650,2
433,40000,62,160,"female","hispanic",15,NA,NA,9
434,74000,77,190,"male","other",NA,34.64,NA,4
435,42000,64,215,"female","hispanic",NA,NA,NA,6
439,19000,66,210,"female","hispanic",NA,0.999,NA,5
440,30000,64,238,"male","hispanic",NA,30.844,NA,8
443,9000,68,173,"male","hispanic",NA,NA,NA,6
445,15000,71,150,"male","hispanic",17,NA,450,1
446,45000,64,185,"male","hispanic",NA,NA,NA,2
447,2000,61,170,"female","hispanic",12,NA,NA,9
448,5000,NA,198,"female","hispanic",NA,NA,NA,9
450,10000,63,140,"female","hispanic",NA,NA,NA,11
451,27000,70,170,"male","hispanic",NA,NA,NA,9
454,25000,74,230,"male","hispanic",NA,57.742,NA,8
456,51000,71,220,"male","hispanic",NA,68.666,550,11
457,12000,77,200,"male","hispanic",NA,NA,NA,5
458,80000,68,226,"male","hispanic",NA,NA,650,6
460,13000,61,155,"female","hispanic",NA,2.01,NA,12
461,10000,60,178,"female","hispanic",NA,13.978,NA,3
462,11000,62,145,"female","hispanic",NA,NA,NA,2
463,7000,62,130,"male","hispanic",NA,NA,NA,7
464,23000,65,NA,"female","hispanic",NA,26.273,NA,11
465,25000,59,120,"female","hispanic",NA,NA,NA,10
466,39000,66,180,"male","hispanic",NA,7.468,NA,12
467,15000,63,165,"female","hispanic",NA,NA,NA,9
468,29000,60,147,"female","hispanic",NA,NA,NA,11
470,15000,65,140,"female","hispanic",NA,NA,NA,2
471,25000,70,156,"male","hispanic",NA,19.146,NA,7
472,32000,63,150,"female","hispanic",NA,40.55,NA,1
475,36000,71,180,"male","hispanic",NA,15.463,NA,3
476,38000,71,194,"male","black",NA,NA,450,7
477,32000,60,140,"female","hispanic",NA,NA,650,5
478,26000,62,139,"female","other",NA,NA,450,1
480,72000,64,145,"female","hispanic",NA,NA,NA,7
481,31000,71,280,"male","hispanic",NA,NA,NA,5
482,32000,72,240,"male","black",NA,30.629,750,7
483,67000,68,160,"male","hispanic",NA,94.974,650,2
484,25000,60,107,"female","hispanic",NA,66.93,550,8
485,90000,67,145,"male","other",20,NA,750,7
492,35000,62,120,"female","other",19,59.73,750,10
493,70000,NA,180,"male","other",20,NA,NA,9
496,60000,65,160,"male","hispanic",NA,NA,550,7
498,61000,67,135,"female","other",NA,NA,450,5
503,28000,72,320,"male","other",20,52.227,650,12
507,20000,63,130,"female","other",NA,9.152,NA,8
508,25000,68,240,"male","hispanic",NA,20.532,NA,8
509,32000,67,135,"female","black",19,27.912,750,8
511,45000,67,220,"male","hispanic",NA,19.706,NA,1
513,20000,66,156,"male","hispanic",12,NA,250,5
517,30000,71,185,"male","hispanic",NA,NA,450,9
519,27000,63,234,"female","hispanic",NA,NA,NA,6
520,18000,67,165,"male","hispanic",NA,NA,NA,10
522,30000,72,180,"male","hispanic",NA,15.606,NA,1
524,180331,66,160,"male","hispanic",NA,29.74,NA,8
525,28000,68,198,"male","hispanic",NA,NA,NA,4
526,1000,67,170,"male","hispanic",NA,NA,NA,11
528,55000,63,165,"female","other",NA,55.307,450,9
529,48000,67,142,"female","hispanic",NA,90.458,450,4
530,14000,67,135,"female","other",20,NA,550,9
535,180331,63,120,"female","other",20,72.473,550,5
536,52000,73,200,"male","hispanic",16,26.653,550,12
538,35000,69,301,"female","other",NA,15.014,NA,8
542,45000,67,145,"female","black",NA,77.604,750,2
543,20000,73,225,"male","hispanic",NA,61.988,NA,10
544,80000,73,200,"male","other",NA,95.302,750,2
548,0,63,131,"female","other",14,65.106,NA,11
549,55000,71,200,"male","other",13,NA,NA,12
551,65000,67,175,"male","other",NA,91.323,650,12
555,55000,71,155,"male","other",20,82.274,650,3
557,42000,59,136,"female","hispanic",NA,71.808,650,11
558,55000,75,195,"male","other",NA,NA,550,2
561,47000,71,230,"male","other",NA,65.918,750,3
563,3000,67,154,"male","other",NA,3.029,NA,3
564,57000,73,170,"male","other",NA,81.035,NA,8
565,32500,67,185,"male","hispanic",14,51.465,NA,4
566,21000,62,142,"female","hispanic",NA,48.296,NA,7
568,26000,67,225,"male","other",NA,46.128,NA,10
571,64000,66,240,"male","other",NA,3.328,250,10
577,70000,71,220,"male","other",NA,41.102,550,4
578,30000,69,180,"male","other",NA,53.141,NA,12
579,38000,66,135,"female","other",NA,55.555,NA,6
580,27000,67,140,"male","other",NA,36.129,NA,5
581,27000,72,335,"male","other",NA,28.983,NA,4
582,30000,68,229,"female","other",NA,8.072,NA,11
584,50311,65,195,"female","other",19,81.343,550,12
585,42500,65,118,"female","other",20,91.965,550,3
586,15000,70,275,"male","hispanic",NA,38.632,NA,1
587,42000,66,190,"female","hispanic",NA,58.11,NA,1
590,4000,74,240,"male","other",NA,93.526,NA,9
592,41000,63,170,"female","hispanic",NA,32.409,NA,10
595,70000,59,97,"female","black",11,NA,NA,9
597,24000,NA,150,"female","other",NA,62.773,NA,12
598,50000,69,170,"male","hispanic",NA,30.224,550,4
599,55000,62,160,"female","hispanic",NA,25.566,NA,9
600,65000,69,205,"male","hispanic",NA,14.295,NA,9
603,48000,68,203,"male","hispanic",NA,5.825,NA,5
605,11500,60,193,"female","hispanic",NA,25.41,NA,2
608,38000,71,200,"male","other",NA,81.071,350,3
609,70000,68,245,"female","other",NA,50.53,NA,3
610,25000,68,160,"female","other",NA,45.169,NA,10
612,51000,74,190,"male","other",17,95.262,550,2
613,36000,74,272,"male","other",NA,82.822,NA,11
617,260,63,138,"female","hispanic",12,NA,NA,11
618,51000,68,245,"male","hispanic",NA,59.993,NA,12
619,40000,70,190,"male","hispanic",NA,16.662,NA,5
622,19000,NA,210,"female","hispanic",NA,NA,NA,4
627,14000,70,240,"male","other",13,98.373,NA,12
630,94000,70,190,"male","other",NA,63.361,NA,4
632,72000,65,125,"female","other",NA,93.903,650,8
633,75000,66,170,"female","other",NA,92.188,550,8
635,28000,68,140,"female","other",NA,64.248,NA,6
636,38000,72,170,"male","other",NA,NA,NA,12
637,45000,64,190,"female","hispanic",NA,NA,NA,11
638,60000,65,155,"male","other",NA,97.225,NA,1
639,40000,65,155,"female","other",13,NA,NA,1
640,83000,75,185,"male","other",NA,54.911,NA,7
641,37000,64,111,"female","other",NA,NA,NA,9
643,77000,75,330,"male","other",16,70.22,NA,3
647,5000,74,150,"male","other",NA,29.055,NA,7
648,180331,72,248,"male","other",NA,21.187,NA,1
649,76000,70,190,"male","other",19,49.154,NA,6
650,32000,61,134,"female","other",NA,23.206,NA,5
653,48000,71,235,"male","other",NA,91.568,NA,12
654,24760,66,140,"female","other",NA,80.727,NA,2
656,33000,65,158,"male","hispanic",NA,NA,NA,11
658,5000,63,166,"female","hispanic",NA,NA,NA,10
660,21000,66,120,"female","hispanic",NA,64.918,NA,7
661,62000,62,130,"male","hispanic",NA,14.59,NA,11
662,36000,72,215,"male","hispanic",NA,4.067,NA,8
663,40000,68,185,"male","hispanic",NA,NA,NA,11
664,20000,69,227,"male","black",NA,44.94,NA,6
665,33000,NA,165,"male","hispanic",20,NA,NA,2
666,100000,65,130,"female","other",20,78.135,550,6
667,50000,67,145,"female","other",16,60.034,NA,11
668,77500,66,150,"female","other",NA,70.811,650,3
669,23000,71,207,"male","black",NA,68.257,550,2
670,50000,73,230,"male","hispanic",NA,NA,NA,2
673,84000,72,210,"male","black",NA,75.099,NA,11
674,27000,66,173,"female","black",NA,NA,NA,8
676,58000,64,54,"female","black",18,27.664,NA,9
677,17000,67,250,"female","black",NA,3.676,NA,1
679,21000,65,185,"female","black",13,NA,NA,6
680,4000,78,230,"male","black",NA,41.546,NA,3
683,30000,NA,180,"male","black",15,13.143,NA,11
684,8000,64,168,"female","black",13,16.523,NA,9
685,20000,69,145,"male","black",NA,16.841,NA,1
687,50000,70,265,"male","other",NA,49.836,NA,1
689,20000,65,165,"female","hispanic",NA,24.066,NA,8
691,43000,71,280,"male","hispanic",NA,NA,NA,6
692,31500,67,168,"male","hispanic",NA,NA,NA,9
693,17000,62,132,"female","other",NA,NA,NA,11
694,35000,71,198,"male","hispanic",NA,60.768,NA,10
699,5000,77,230,"male","black",NA,NA,NA,6
700,17000,62,155,"female","black",NA,2.379,NA,9
701,2500,69,280,"male","black",NA,0,NA,7
702,45000,68,165,"male","black",NA,NA,NA,3
705,12000,63,53,"female","other",NA,25.736,NA,8
706,40000,69,180,"male","other",NA,44.322,NA,5
707,65000,NA,155,"female","other",16,38.621,NA,5
709,20000,NA,NA,"female","hispanic",15,35.216,NA,10
712,25000,NA,170,"male","black",NA,18.049,NA,8
713,20000,62,187,"female","black",NA,0.282,NA,7
715,10000,64,180,"female","black",15,60.494,NA,8
717,20000,72,260,"male","black",NA,4.166,550,11
718,75000,76,220,"male","black",NA,NA,NA,10
719,75000,75,280,"male","black",NA,73.176,NA,11
720,90,70,265,"male","other",NA,82.427,550,2
723,70000,72,180,"male","hispanic",14,47.503,NA,5
725,180331,63,172,"female","black",NA,91.393,550,9
726,97573,73,210,"male","black",NA,99.018,650,8
727,35000,65,265,"female","black",NA,97.811,650,2
728,26000,64,160,"female","black",14,15.042,NA,5
729,50000,71,240,"male","black",NA,69.945,NA,3
730,25000,62,152,"female","other",NA,NA,NA,12
731,180331,75,215,"male","other",NA,96.022,650,7
732,54000,NA,140,"female","other",18,73.821,NA,7
734,77000,62,109,"female","other",NA,92.465,NA,12
735,67000,64,130,"female","other",NA,100,750,11
737,50000,76,235,"male","other",NA,74.667,NA,7
739,4000,62,92,"female","other",20,97.859,650,4
740,8000,66,205,"female","other",20,99.182,750,12
741,27000,68,215,"female","other",NA,79.802,NA,4
742,22000,67,130,"female","other",NA,92.299,NA,1
745,63000,73,160,"male","other",NA,97.502,NA,10
746,100000,70,160,"male","other",NA,97.067,650,1
748,35000,63,156,"female","black",14,58.438,NA,8
749,7000,67,140,"female","black",3,19.553,NA,4
751,3000,65,268,"female","black",NA,9.674,NA,11
752,3000,69,160,"male","black",NA,5.544,NA,3
753,44000,72,272,"male","black",NA,NA,NA,12
754,70000,69,160,"male","hispanic",NA,64.2,NA,11
755,60000,NA,170,"female","other",NA,41.835,NA,4
757,85000,65,125,"female","other",NA,75.948,NA,11
763,24000,70,155,"male","other",20,96.315,650,1
765,65000,72,210,"male","hispanic",NA,56.176,NA,9
768,48000,73,210,"male","black",NA,26.572,NA,8
769,85000,66,210,"female","other",NA,62.924,NA,6
772,11000,66,140,"female","other",20,100,750,6
774,32000,NA,166,"female","hispanic",NA,53.585,NA,12
775,45000,74,260,"male","other",14,NA,450,4
776,42000,70,220,"male","other",NA,NA,NA,12
778,25000,67,165,"female","other",NA,99.632,NA,6
782,35000,61,163,"female","other",NA,NA,NA,7
783,36000,69,235,"male","other",18,NA,NA,5
785,50000,68,170,"male","other",NA,73.141,NA,12
789,16000,72,218,"male","other",NA,36.814,NA,8
790,39000,72,200,"male","other",NA,NA,NA,2
791,32000,67,125,"female","other",NA,64.858,NA,5
792,75000,71,203,"male","other",NA,NA,NA,8
793,0,74,185,"male","other",14,NA,NA,10
794,20000,71,195,"male","other",20,93.038,550,10
796,40000,64,145,"female","other",NA,82.304,NA,5
797,45000,65,130,"female","other",16,91.505,NA,6
798,85000,72,180,"male","other",NA,92.824,NA,10
799,85000,67,175,"male","other",20,NA,650,4
800,180331,69,155,"male","other",NA,73.102,NA,5
801,52000,65,135,"female","other",NA,19.617,NA,3
807,17000,66,210,"female","hispanic",NA,36.578,NA,10
808,47180,68,130,"male","hispanic",NA,51.988,NA,9
813,35000,NA,145,"female","black",16,42.38,350,2
814,6000,62,145,"female","black",14,64.764,NA,9
816,13000,62,208,"female","black",NA,2.227,NA,10
818,46000,65,136,"female","black",NA,NA,450,5
819,36000,69,172,"male","black",NA,60.86,250,1
820,40000,71,195,"male","black",NA,42.475,NA,8
821,24000,65,180,"female","black",NA,35.74,NA,1
822,16000,69,235,"female","black",NA,NA,NA,1
823,26000,74,170,"male","black",13,NA,450,12
824,38000,63,124,"female","hispanic",NA,22.08,550,5
825,41300,64,140,"female","hispanic",NA,21.94,NA,7
826,65000,68,200,"male","hispanic",NA,NA,NA,12
827,32000,69,195,"male","other",NA,84.822,550,3
828,62000,66,145,"female","other",17,48.674,450,3
830,24000,65,152,"male","other",NA,NA,450,2
831,28000,70,335,"male","other",NA,76.002,550,11
836,180331,73,210,"male","other",NA,NA,NA,11
837,50000,66,240,"male","other",15,13.25,NA,5
839,95000,64,125,"female","other",NA,93.117,550,4
840,90000,67,180,"female","other",NA,77.32,550,2
841,20000,67,130,"female","other",NA,92.924,550,4
842,31000,NA,230,"male","other",NA,66.939,NA,1
843,48000,69,188,"male","other",NA,79.719,550,4
844,85000,64,129,"female","other",NA,31.267,550,5
847,38000,69,215,"male","black",NA,60.225,NA,9
848,40000,67,148,"female","black",NA,30.799,NA,4
849,5000,68,230,"female","black",NA,2.167,250,4
851,65000,61,147,"female","other",16,65.618,NA,1
852,26000,70,180,"male","other",NA,25.539,NA,7
853,35000,61,145,"female","other",13,23.167,NA,2
855,80000,66,120,"female","other",NA,81.882,550,7
856,70000,72,210,"male","other",NA,35.054,350,2
859,2000,68,160,"male","other",NA,13.132,NA,6
860,180331,72,208,"male","multiracial",NA,87.904,450,1
861,50000,71,165,"male","multiracial",NA,64.221,NA,8
863,25000,66,128,"female","other",NA,32.722,NA,11
866,65000,71,160,"male","other",NA,NA,NA,6
867,25000,69,172,"male","other",NA,NA,NA,10
870,10000,76,200,"male","black",14,14.973,NA,6
873,70000,68,158,"female","hispanic",18,65.003,NA,1
874,24000,72,270,"male","hispanic",NA,2.943,NA,4
879,110000,64,122,"female","other",NA,22.579,750,7
883,31000,64,180,"female","hispanic",NA,54.87,NA,9
884,92000,67,200,"male","other",NA,50.894,NA,11
885,28000,67,150,"male","other",NA,37.811,NA,12
893,38000,71,225,"male","hispanic",16,55.322,NA,9
894,85000,74,200,"male","hispanic",NA,35.079,NA,5
895,50000,70,189,"male","hispanic",16,24.099,NA,12
901,65000,67,150,"female","other",NA,60.434,550,3
903,70000,73,NA,"male","hispanic",NA,19.864,NA,9
905,25000,65,165,"female","hispanic",NA,46.474,NA,9
906,45000,64,120,"female","other",NA,11.754,NA,4
907,20000,61,132,"female","hispanic",NA,NA,NA,1
911,20000,71,170,"male","hispanic",NA,55.786,NA,6
913,5000,71,185,"female","other",NA,24.294,NA,11
915,75000,61,103,"female","other",NA,71.805,550,10
916,60000,63,110,"female","other",NA,70.288,NA,3
918,180331,67,167,"male","other",NA,89.502,650,7
919,180331,60,95,"female","other",NA,63.707,550,1
921,20000,73,200,"male","hispanic",16,NA,NA,11
922,65000,63,135,"female","hispanic",NA,71.471,450,6
924,53000,58,107,"female","black",NA,51.695,550,5
927,68000,65,165,"male","hispanic",NA,NA,NA,10
929,180331,66,180,"male","other",NA,96.075,650,2
930,42000,63,190,"female","hispanic",NA,30.012,650,11
931,30000,62,135,"female","black",20,91.934,650,2
932,56000,62,125,"female","other",NA,NA,750,11
933,57000,66,131,"female","other",NA,88.446,550,7
934,35000,66,180,"female","other",NA,93.017,650,8
935,78000,64,179,"female","hispanic",NA,88.303,550,2
940,15000,70,210,"male","other",15,97.754,750,8
