"Address","City","State","Zip","Longitude","Latitude"
"11121 Grand Ave","Youngtown",AZ,"85363",-112.2997,33.6055
"1435 E 16th St","Yuma",AZ,"85365",-114.6055,32.6985
"Marine Corps Air Station","Yuma",AZ,"85365",-114.5420,32.6781
"11255 E South Frontage Rd","Yuma",AZ,"85367",-114.4443,32.6682
"14240 Us Highway 395","Adelanto",CA,"92301",-117.3996,34.5091
"369 W Main St","Alhambra",CA,"91801",-118.1309,34.0933
"1168 W Katella Ave","Anaheim",CA,"92802",-117.9270,33.8032
"1610 S Harbor Blvd","Anaheim",CA,"92802",-117.9153,33.8085
"2080 S Harbor Blvd","Anaheim",CA,"92802",-117.9150,33.7967
"210 S Euclid St","Anaheim",CA,"92802",-117.9415,33.8308
"1420 N State College Blvd","Anaheim",CA,"92806",-117.8892,33.8551
"2005 E Katella Ave","Anaheim",CA,"92806",-117.8891,33.8034
"2006 Somersville Rd","Antioch",CA,"94509",-121.8387,38.0026
"4823 Lone Tree Way","Antioch",CA,"94531",-121.7679,37.9629
"20242 Hwy 18","Apple Valley",CA,"92307",-117.2214,34.5269
"18989 Bear Valley Road","Apple Valley",CA,"92308",-117.2493,34.4710
"7 East Huntington Dr","Arcadia",CA,"91006",-118.0312,34.1400
"16907 S Pioneer Blvd","Artesia",CA,"90701",-118.0824,33.8775
"6910 El Camino Real","Atascadero",CA,"93422",-120.6657,35.4868
"1601 Sycamore Ave","Atwater",CA,"95301",-120.6140,37.3457
"1800 Auburn Ravine Rd","Auburn",CA,"95603",-121.0594,38.9232
"72415 Baker Blvd","Baker",CA,"92309",-116.0705,35.2682
"2851 White Lane","Bakersfield",CA,"93304",-119.0337,35.3176
"2684 Mt Vernon Ave","Bakersfield",CA,"93306",-118.9676,35.3962
"2309 Panama Lane","Bakersfield",CA,"93307",-119.0272,35.2959
"8011 E Brundage Lane","Bakersfield",CA,"93307",-118.9183,35.3544
"17047 Zachary Avenue","Bakersfield",CA,"93308",-119.1869,35.5347
"2627 Buck Owens Blvd","Bakersfield",CA,"93308",-119.0432,35.3839
"35175 7th Standard Road","Bakersfield",CA,"93308",-119.0763,35.4413
"4440 Gosford Rd","Bakersfield",CA,"93311",-119.0921,35.3150
"8710 Rosedale Hwy","Bakersfield",CA,"93312",-119.0987,35.3835
"14550 Baldwin Pk Towne Center","Baldwin Park",CA,"91706",-117.9592,34.0725
"6305 Joshua Palmer Way","Banning",CA,"92220",-116.9459,33.9276
"1201 E Main St","Barstow",CA,"92311",-117.0102,34.8980
"2611 Fisher Rd","Barstow",CA,"92311",-117.0828,34.8546
"2830 Lenwood Rd","Barstow",CA,"92311",-117.0829,34.8492
"449 E 4th St","Beaumont",CA,"92223",-116.9767,33.9262
"17230 Lakewood Blvd","Bellflower",CA,"90706",-118.1426,33.8755
"9312 Rosecrans","Bellflower",CA,"90706",-118.1356,33.9040
"41196 Big Bear Blvd","Big Bear",CA,"92315",-116.9033,34.2436
"1014 N Main St","Bishop",CA,"93514",-118.3953,37.3715
"876 W Donlon St","Blythe",CA,"92225",-114.6060,33.6066
"7740 Orangethorpe","Buena Park",CA,"90621",-117.9982,33.8590
"2525 North Hollywood Way","Burbank",CA,"91505",-118.3489,34.1950
"1010 W Alameda Ave","Burbank",CA,"91506",-118.3129,34.1633
"20672 Tracy Ave","Buttonwillow",CA,"93206",-119.3979,35.4012
"110 W Cole Rd","Calexico",CA,"92231",-115.5004,32.6940
"1184 Calimesa Blvd","Calimesa",CA,"92320",-117.0582,33.9956
"1659 E Dailey Dr","Camarillo",CA,"93010",-119.0491,34.2183
"3446 Coach Lane","Cameron Park",CA,"95682",-120.9674,38.6582
"2060 S Bascom Ave","Campbell",CA,"95008",-121.9316,37.2858
"8330 Topanga Canyon Blvd","Canoga Park",CA,"91306",-118.6060,34.2205
"18932 W Soledad Canyon Rd","Canyon Country",CA,"91351",-118.4655,34.4157
"1048 Carlsbad Village Dr","Carlsbad",CA,"92008",-117.3433,33.1628
"7433 Fair Oaks Blvd","Carmichael",CA,"95608",-121.3281,38.6356
"600 Carson Plaza Dr","Carson",CA,"90746",-118.2642,33.8453
"31724 Castaic Rd","Castaic",CA,"91384",-118.6212,34.4950
"69050 Hwy 111","Cathedral City",CA,"92234",-116.4603,33.7787
"1507 Herndon Rd","Ceres",CA,"95307",-120.9742,37.6092
"675 Manzanita Court","Chico",CA,"95926",-121.8449,39.7525
"12180 Central Ave","Chino",CA,"91710",-117.6895,34.0326
"15459 Fairfield Ranch Rd","Chino Hills",CA,"91710",-117.6898,33.9718
"110 Bonita Rd","Chula Vista",CA,"91910",-117.0641,32.6480
"692 E St","Chula Vista",CA,"91910",-117.0974,32.6403
"2110 Birch Rd","Chula Vista",CA,"91915",-116.9624,32.6214
"6215 Sunrise Blvd","Citrus Heights",CA,"95610",-121.2716,38.6787
"5142 Triggs St","City of Commerce",CA,"90022",-118.1620,34.0111
"7268 E Gage Ave","City of Commerce",CA,"90040",-118.1270,33.9748
"820 South Indian Hill Blvd","Claremont",CA,"91711",-117.7192,34.0806
"1151 Herndon Ave","Clovis",CA,"93612",-119.6965,36.8375
"710 W Shaw Avenue","Clovis",CA,"93612",-119.7242,36.8084
"25026 West Dorris","Coalinga",CA,"93210",-120.2564,36.2542
"1190 S Mt Vernon","Colton",CA,"92324",-117.3085,34.0487
"160 West Valley Blvd","Colton",CA,"92324",-117.3253,34.0670
"1313 Willow Pass Rd","Concord",CA,"94520",-122.0523,37.9686
"260 Pittman Rd","Cordelia",CA,"94585",-122.1262,38.2201
"2120 South Avenue","Corning",CA,"96021",-122.1947,39.9065
"165 McKinley St","Corona",CA,"92879",-117.5168,33.8851
"2379 Compton Ave","Corona",CA,"92881",-117.5375,33.8432
"1833 W 6th St","Corona",CA,"92882",-117.6019,33.8793
"3170 Harbor Blvd","Costa Mesa",CA,"92626",-117.9193,33.6857
"1225 5th St","Crescent City",CA,"95531",-124.1953,41.7555
"10700 Jefferson Blvd","Culver City",CA,"90230",-118.3934,34.0041
"#2 Serra Monte","Daly City",CA,"94015",-122.4713,37.6751
"34242 Del Obispo","Dana Point",CA,"92629",-117.6867,33.4657
"2203 via De La Valle","Del Mar",CA,"92014",-117.2559,32.9795
"14390 County Line Rd","Delano",CA,"93215",-119.2496,35.7904
"1250 Stratford Ave","Dixon",CA,"95620",-121.8392,38.4580
"8350 E Firestone Blvd","Downey",CA,"90241",-118.1321,33.9395
"1060 Huntington Dr","Duarte",CA,"91010",-117.9827,34.1395
"2642 Jamacha Rd","El Cajon",CA,"92019",-116.9319,32.7439
"2691 Navajo Rd","El Cajon",CA,"92020",-117.0017,32.8018
"1202 W Main St","El Cajon",CA,"92021",-116.9780,32.7950
"665 N Mollison Ave","El Cajon",CA,"92021",-116.9510,32.8037
"1445 Ocotillo Drive","El Centro",CA,"92243",-115.5686,32.7768
"3403 Dogwood Ave","El Centro",CA,"92243",-115.5349,32.7628
"11344 San Pablo Ave","El Cerrito",CA,"94530",-122.3154,37.9211
"3540 N Peck Rd","El Monte",CA,"91731",-118.0249,34.0720
"9804 E Flair Drive","El Monte",CA,"91731",-118.0552,34.0721
"2555 El Segundo Blvd","El Segundo",CA,"90245",-118.3754,33.9165
"8707 Elk Grove Blvd","Elk Grove",CA,"95624",-121.3807,38.4090
"1776 Powell Street","Emeryville",CA,"94608",-122.2959,37.8382
"135 Encinitas Blvd","Encinitas",CA,"92024",-117.2899,33.0487
"510 W Mission Ave","Escondido",CA,"92025",-117.0923,33.1282
"136 5th St","Eureka",CA,"95501",-124.1699,40.8014
"1360 Holiday Lane","Fairfield",CA,"94534",-122.0655,38.2569
"2980 Travis Blvd","Fairfield",CA,"94534",-122.0649,38.2583
"713 South Main St","Fallbrook",CA,"92028",-117.2514,33.3765
"1011 Riley Street","Folsom",CA,"95630",-121.1699,38.6713
"17009-A Valley Blvd","Fontana",CA,"92335",-117.4334,34.0704
"13479 Baseline Ave","Fontana",CA,"92336",-117.5116,34.1214
"26712 Portola Parkway","Foothill Ranch",CA,"92610",-117.6648,33.6803
"16205 Brookhurst St","Fountain Valley",CA,"92708",-117.9547,33.7275
"160 N 10th Street","Fowler",CA,"93625",-119.6838,36.6280
"5280 Mowry Ave","Fremont",CA,"94538",-122.0006,37.5336
"46645 Mission Blvd","Fremont",CA,"94539",-121.9279,37.4912
"141 Abby St","Fresno",CA,"93701",-119.7894,36.7440
"3120 N Blackstone Ave","Fresno",CA,"93703",-119.7905,36.7784
"2568 S East Ave","Fresno",CA,"93706",-119.7718,36.7075
"1110 East Shaw St","Fresno",CA,"93710",-119.7695,36.8089
"1746 W Shaw Ave","Fresno",CA,"93711",-119.8244,36.8084
"30 E Herndon Ave","Fresno",CA,"93720",-119.7835,36.8376
"530 South Clovis Ave","Fresno",CA,"93727",-119.7002,36.7379
"1121 N Parkway Dr","Fresno",CA,"93728",-119.8301,36.7566
"901 N Main St","Ft Bragg",CA,"95437",-123.8059,39.4518
"2920 E Nutwood Ave","Fullerton",CA,"92831",-117.8793,33.8780
"1101 S Harbor Blvd","Fullerton",CA,"92832",-117.9243,33.8610
"1055 C St","Galt",CA,"95632",-121.2982,38.2531
"13302 Harbor Blvd","Garden Grove",CA,"92843",-117.9203,33.7696
"18620 S Western Ave","Gardena",CA,"90248",-118.3091,33.8615
"8425 San Ysidro Ave","Gilroy",CA,"95020",-121.5653,37.0239
"546 W Baseline Rd","Glendora",CA,"91740",-117.8726,34.1213
"12820 St Hwy 33","Gustine",CA,"95322",-121.0158,37.1031
"1150 So Seventh Ave","Hacienda Heights",CA,"91745",-117.9888,34.0183
"1635 Glendale Ave","Hanford",CA,"93230",-119.6720,36.3202
"13201 Hawthorne Blvd","Hawthorne",CA,"90250",-118.3528,33.9123
"14301 Inglewood","Hawthorne",CA,"90250",-118.3613,33.9018
"30163 Industrial","Hayward",CA,"94544",-122.0659,37.6090
"2675 W Florida Ave","Hemet",CA,"92545",-116.9997,33.7474
"13165 Main St","Hesperia",CA,"92345",-117.3759,34.4267
"6100 Sunset","Hollywood",CA,"90028",-118.3223,34.0980
"18477 Beach Blvd","Huntington Beach",CA,"92648",-117.9890,33.6942
"82120 Hwy 111","Indio",CA,"92201",-116.2318,33.7149
"14962 Sand Canyon Dr","Irvine",CA,"92618",-117.7595,33.6762
"200 S Hwy 49","Jackson",CA,"95642",-120.7731,38.3469
"27585 Bernard Drive","Kettleman City",CA,"93239",-119.9603,35.9881
"1129 Broadway","King City",CA,"93930",-121.1378,36.2053
"801 Sierra","Kingsburg",CA,"93631",-119.5599,36.5179
"1150 S Beach Blvd","La Habra",CA,"90631",-117.9678,33.9180
"4235 Spring St","La Mesa",CA,"91941",-117.0147,32.7557
"15553 Valley Blvd","La Puente",CA,"91744",-117.9593,34.0209
"31760 Grape St","Lake Elsinore",CA,"92532",-117.2933,33.6576
"23515 El Toro Rd","Lake Forest",CA,"92630",-117.6992,33.6217
"13584 Camino Canada","Lakeside",CA,"92040",-116.9013,32.8262
"2634 E Carson St","Lakewood",CA,"90712",-118.1606,33.8324
"5520 South Street","Lakewood",CA,"90713",-118.1243,33.8603
"11605 Carson St","Lakewood",CA,"90715",-118.0864,33.8315
"1028 West Ave I","Lancaster",CA,"93534",-118.1494,34.7034
"2005 W Ave K","Lancaster",CA,"93536",-118.1659,34.6751
"16851 Harlan Rd","Lathrop",CA,"95330",-121.2936,37.8100
"9046 Loop Rd E","Lebec",CA,"93243",-118.4894,35.1320
"701 E Kettleman Lane","Lodi",CA,"95240",-121.2593,38.1163
"15237 Thornton Road","Lodi",CA,"95242",-121.3936,38.1186
"601 N Long Beach Blvd","Long Beach",CA,"90802",-118.1895,33.7741
"5570 Pacific Coast Highway","Long Beach",CA,"90804",-118.1235,33.7759
"3333 Atlantic Ave","Long Beach",CA,"90807",-118.1850,33.8176
"2860 N Bellflower Blvd","Long Beach",CA,"90815",-118.1252,33.8080
"400 N Vermont Avenue","Los Angeles",CA,"90004",-118.2917,34.0778
"635 S Vermont Ave","Los Angeles",CA,"90005",-118.2917,34.0623
"3750 Wilshire Blvd","Los Angeles",CA,"90010",-118.3078,34.0617
"530 Ramirez St","Los Angeles",CA,"90012",-118.2318,34.0548
"3740 S Crenshaw Blvd","Los Angeles",CA,"90016",-118.3351,34.0185
"888 S Figueroa St","Los Angeles",CA,"90017",-118.2627,34.0463
"4760 East Cesar E Chavez Avenue","Los Angeles",CA,"90022",-118.1629,34.0406
"5751 Sunset Blvd","Los Angeles",CA,"90028",-118.3148,34.0981
"5535 W Century","Los Angeles",CA,"90045",-118.3774,33.9454
"8601 S Bellanca Ave","Los Angeles",CA,"90045",-118.3805,33.9598
"11700 Wilmington Ave","Los Angeles",CA,"90059",-118.2391,33.9273
"3060 San Fernando Rd","Los Angeles",CA,"90065",-118.2451,34.1141
"1491 West Pacheco","Los Banos",CA,"93635",-120.8778,37.0568
"2160 E Pacheco Blvd","Los Banos",CA,"93635",-120.8207,37.0571
"I-5 Hwy 46","Lost Hills",CA,"93249",-119.8676,35.6149
"11195 Long Beach Blvd","Lynwood",CA,"90262",-118.2114,33.9296
"22717 Ave 18 1/2","Madera",CA,"93637",-120.1341,37.0182
"1135 S Main St","Manteca",CA,"95336",-121.2161,37.7867
"110 Reservation Road","Marina",CA,"93933",-121.8029,36.6959
"630 Tenth St","Marysville",CA,"95901",-121.5937,39.1455
"5900 Atlantic Blvd","Maywood",CA,"90270",-118.1856,33.9871
"1500 Ana Sparks Way","Mckinleyville",CA,"95519",-124.1026,40.9328
"90480 66th Ave","Mecca",CA,"92254",-116.0898,33.5712
"1128 W 13th St","Merced",CA,"95341",-120.4953,37.3006
"333 S Abbott","Milpitas",CA,"95035",-121.9129,37.4254
"6285 Pats Ranch Road, Suite A","Mira Loma",CA,"91752",-117.5439,33.9739
"24445 Alicia Parkway","Mission Viejo",CA,"92691",-117.6897,33.6072
"1525 McHenry Ave","Modesto",CA,"95350",-120.9940,37.6660
"2052 W Orangeburg St","Modesto",CA,"95350",-121.0298,37.6662
"110 McHenry St","Modesto",CA,"95354",-120.9938,37.6460
"16262 Sierra Hwy","Mojave",CA,"93501",-118.1751,35.0569
"2727 via Campo","Montebello",CA,"90640",-118.1257,34.0328
"2137 North Fremont St","Monterey",CA,"93940",-121.8616,36.5964
"300 Fremont Street","Monterey",CA,"93940",-121.8927,36.5953
"832 New Los Angeles Ave","Moorpark",CA,"93021",-118.8672,34.2803
"24952 Sunnymead Blvd","Moreno Valley",CA,"92553",-117.2274,33.9391
"875 Cochrane Rd","Morgan Hill",CA,"95037",-121.6550,37.1515
"25365 Madison Ave","Murrieta",CA,"92562",-117.1973,33.5544
"Highway 79 & Benton Rd","Murrieta",CA,"92563",-117.1249,33.5921
"63690 20th Ave","N Palm Springs",CA,"92258",-116.5506,33.9055
"1000 Imola Ave","Napa",CA,"94559",-122.2741,38.2805
"1904 Sweetwater Rd","National City",CA,"91950",-117.0791,32.6613
"424 W Mile of Cars","National City",CA,"91950",-117.1059,32.6608
"1400 J St","Needles",CA,"92363",-114.6117,34.8391
"2830 Camino Del Rios North","Newbury Park",CA,"91320",-118.9362,34.1906
"681 Newcastle Rd","Newcastle",CA,"95658",-121.1312,38.8698
"25341 Chiquella Dr","Newhall",CA,"91381",-118.5671,34.3785
"11377 Burbank Blvd","No Hollywood",CA,"91601",-118.3788,34.1722
"1360 N Hamner Ave","Norco",CA,"92860",-117.5624,33.9017
"13136 Sherman Way","North Hollywood",CA,"91605",-118.4190,34.2012
"9001 Tampa Ave","Northridge",CA,"91324",-118.5536,34.2341
"17018 Devonshire St","Northridge",CA,"91325",-118.5029,34.2575
"12616 Pioneer Blvd","Norwalk",CA,"90650",-118.0818,33.9168
"1555 East F St","Oakdale",CA,"95361",-120.8297,37.7732
"40650 Hwy 41","Oakhurst",CA,"93644",-119.6341,37.3881
"601 Hegenberger","Oakland",CA,"94621",-122.1962,37.7453
"2273 El Camino Real","Oceanside",CA,"92054",-117.3281,33.1855
"487 Harbor Dr","Oceanside",CA,"92054",-117.3898,33.2070
"605 College Blvd","Oceanside",CA,"92057",-117.2899,33.2435
"2421 S Archibald","Ontario",CA,"91761",-117.5931,34.0296
"1409 E 4th St","Ontario",CA,"91762",-117.6255,34.0777
"502 N Vineyard","Ontario",CA,"91764",-117.6110,34.0684
"715 N Milliken Ave","Ontario",CA,"91764",-117.5584,34.0701
"1695 E Lincoln Ave","Orange",CA,"92865",-117.8363,33.8350
"3000 W Chapman Ave","Orange",CA,"92868",-117.8831,33.7879
"8841 Greenback Ln","Orangevale",CA,"95662",-121.2284,38.6786
"2470 Oro Dam Blvd","Oroville",CA,"95966",-121.5468,39.5058
"1255 N Oxnard","Oxnard",CA,"93030",-119.1775,34.2139
"800 Garnet Ave","Pacific Beach",CA,"92109",-117.2555,32.7965
"1201 N Palm Canyon Dr","Palm Springs",CA,"92262",-116.5468,33.8395
"1257 Rancho Vista Blvd","Palmdale",CA,"93551",-118.1531,34.6018
"37050 47th St E","Palmdale",CA,"93552",-118.0453,34.5548
"8500 Van Nuys Blvd","Panorama City",CA,"91402",-118.4488,34.2248
"2627 E Colorado Blvd","Pasadena",CA,"91107",-118.0961,34.1461
"1310 24th St","Paso Robles",CA,"93446",-120.6864,35.6420
"15001 Rogers Rd","Patterson",CA,"95363",-121.1761,37.4667
"570 E 4th St","Perris",CA,"92570",-117.2189,33.7824
"4986 Petaluma Blvd","Petaluma",CA,"94952",-122.6705,38.2695
"8600 E Whittier Blvd","Pico Rivera",CA,"90660",-118.0886,34.0033
"611 Five Cities Dr","Pismo Beach",CA,"93449",-120.6218,35.1356
"108 E Orangethorpe Ave","Placentia",CA,"92870",-117.8725,33.8625
"99 Fair Lane Dr","Placerville",CA,"95667",-120.8306,38.7226
"612 Contra Costa Blvd","Pleasant Hill",CA,"94523",-122.0645,37.9748
"3012 W Temple Ave","Pomona",CA,"91766",-117.7982,34.0407
"1504 Gillette Rd","Pomona",CA,"91768",-117.7778,34.0742
"3801 W Temple Avenue","Pomona",CA,"91768",-117.8165,34.0502
"2511 N Ventura Rd","Port Hueneme",CA,"93041",-119.1951,34.1760
"1262 W Henderson Ave","Porterville",CA,"93257",-119.0457,36.0804
"360 Montgomery Ave","Porterville",CA,"93257",-119.0253,36.0498
"1946 Main St","Ramona",CA,"92065",-116.8833,33.0330
"2474 Sunrise Blvd","Rancho Cordova",CA,"95670",-121.2696,38.6141
"11899 Foothills Blvd","Rancho Cucamonga",CA,"91730",-117.5456,34.1063
"29019 Western Avenue","Rancho Palos Verdes",CA,"90275",-118.3097,33.7555
"48 Antelope Blvd","Red Bluff",CA,"96080",-122.2288,40.1791
"2608 Hilltop Dr","Redding",CA,"96002",-122.3581,40.5707
"542 E Cypress St","Redding",CA,"96002",-122.3620,40.5710
"9 W Redlands Blvd","Redlands",CA,"92373",-117.1827,34.0573
"1180 Alabama St","Redlands",CA,"92374",-117.2087,34.0685
"1760 Aviation Blvd","Redondo Beach",CA,"90278",-118.3820,33.8720
"1201 Broadway","Redwood City",CA,"94063",-122.2142,37.4871
"7600 Reseda Blvd","Reseda",CA,"91335",-118.5361,34.2084
"1377 W Foothill Blvd","Rialto",CA,"92376",-117.3982,34.1067
"104 China Lake Blvd","Ridgecrest",CA,"93555",-117.6700,35.6224
"1501 N Jack Tone Road","Ripon",CA,"95366",-121.1425,37.7569
"2955 Van Buren Blvd","Riverside",CA,"92503",-117.4368,33.9086
"3530 Madison St","Riverside",CA,"92504",-117.4061,33.9373
"1245 University Ave","Riverside",CA,"92507",-117.3388,33.9757
"4460 Rocklin Rd","Rocklin",CA,"95677",-121.2248,38.7885
"122 Sunrise Ave","Roseville",CA,"95661",-121.2668,38.7432
"5181 Foothills Blvd","Roseville",CA,"95747",-121.3115,38.7631
"1425 S Nogales","Rowland Heights",CA,"91748",-117.8890,33.9914
"6875 Valley Way","Rubidoux",CA,"92509",-117.4359,34.0106
"300 Bercut Drive","Sacramento",CA,"95814",-121.5022,38.5973
"3520 Auburn Blvd","Sacramento",CA,"95821",-121.3825,38.6373
"5460 Florin Rd","Sacramento",CA,"95823",-121.4418,38.4961
"1322 Howe Ave","Sacramento",CA,"95825",-121.4154,38.5894
"7900 College Town Dr","Sacramento",CA,"95826",-121.4106,38.5553
"7401 Elsie Ave","Sacramento",CA,"95828",-121.4163,38.4743
"4441 E Commerce Way","Sacramento",CA,"95834",-121.5261,38.6525
"5120 Interstate Ave","Sacramento",CA,"95842",-121.3631,38.6596
"4324 Salida Blvd","Salida",CA,"95368",-121.0755,37.7015
