Name,Address,Phone,Fax,Longitude,Latitude
La Quinta Inn & Suites Chattanooga - Lookout Mtn,"311 Browns Ferry Rd.,
Chattanooga, TN 37419",1-423-551-4100,1-423-551-4101,-85.362667,35.030106
La Quinta Inn & Suites Chattanooga North - Hixson,"5000 New Country Drive,
Hixson, TN 37343",1-800-753-3757,1-423-308-2330,-85.240859,35.120277
La Quinta Inn & Suites Chattanooga,"7051 McCutcheon Rd.,
Chattanooga, TN 37421",1-423-899-2300,1-423-899-2282,-85.15515,35.046216
La Quinta Inn Cheyenne,"2410 West Lincolnway,
Cheyenne, WY 82009-3301",1-307-632-7117,1-307-638-7807,-104.847583,41.120203
La Quinta Inn & Suites Chicago Downtown,"One South Franklin,
Chicago, IL 60606",1-312-558-1020,1-312-558-1014,-87.635308,41.881555
La Quinta Inn & Suites Chicago Gurnee,"5688 Northridge Dr,
Gurnee, IL 60031",1-847-662-7600,1-847-662-5300,-87.944161,42.377958
La Quinta Inn & Suites Chicago - Lake Shore,"4900A S. Lake Shore Drive,
Chicago, IL 60615",1-773-324-3000,1-773-324-3088,-87.585842,41.806149
La Quinta Inn & Suites Bannockburn-Deerfield,"2000 South Lakeside Dr,
Bannockburn, IL 60015",1-847-317-7300,1-847-317-3350,-87.884592,42.196657
La Quinta Inn Chicago O'Hare Airport,"1900 East Oakton St,
Elk Grove Village, IL 60007",1-847-439-6767,1-847-228-4304,-87.958449,42.022537
La Quinta Inn Chicago Oakbrook Terrace,"1 South 666 Midwest Rd,
Oakbrook Terrace, IL 60181-4429",1-630-495-4600,1-630-495-2558,-87.973575,41.847782
La Quinta Inn & Suites Chicago Tinley Park,"7255 West 183rd St,
Tinley Park, IL 60477",1-708-633-1200,1-708-633-1444,-87.794183,41.557432
La Quinta Inn Chicago Willowbrook,"855 79th St,
Willowbrook, IL 60527",1-630-654-0077,1-630-654-0181,-87.943136,41.745026
La Quinta Inn & Suites Cincinnati Airport Florence,"350 Meijer Dr,
Florence, KY 41042",1-859-282-8212,1-859-282-8285,-84.635646,39.01189
La Quinta Inn Cincinnati North,"12150 Springfield Pike,
Springdale, OH 45246",1-513-671-2300,1-513-671-7324,-84.484772,39.300295
La Quinta Inn & Suites Cincinnati NE - Mason,"9918 Escort Dr,
Mason, OH 45040",1-513-459-1111,1-513-459-1168,-84.317231,39.294134
La Quinta Inn & Suites Cincinnati Sharonville,"11029 Dowlin Dr,
Cincinnati, OH 45241",1-513-771-0300,1-513-771-6411,-84.438924,39.272016
La Quinta Inn & Suites Claremore,"774 S Lynn Riggs Blvd,
Claremore, OK 74017",1-918-965-1877,1-918-965-1878,-95.623071,36.302921
La Quinta Inn & Suites Clarksville,"251 Holiday Drive,
Clarksville, TN 37040",1-931-906-0606,1-931-9068600,-87.280687,36.595634
La Quinta Inn & Suites Houston/Clear Lake-NASA,"520 West Bay Area Blvd,
Webster, TX 77598",1-281-554-5290,1-281-554-5292,-95.133855,29.545224
La Quinta Inn & Suites Clearwater Airport,"3301 Ulmerton Rd,
Clearwater, FL 33762",1-727-572-7222,1-727-572-0076,-82.678522,27.894745
La Quinta Inn Clearwater Central,"21338 US Hwy 19 North,
Clearwater, FL 33765",1-727-799-1565,1-727-797-6801,-82.731203,27.966329000000002
La Quinta Inn & Suites Clearwater South,"5000 Lake Blvd,
Clearwater, FL 33760",1-727-299-9800,1-727-299-0088,-82.702368,27.866735
La Quinta Inn & Suites Cleburne,"107 East Kilpatrick Ave,
Cleburne, TX 76031",1-817-641-4455,1-817-202-8617,-97.394941,32.370162
La Quinta Inn & Suites Cleveland - Airport North,"4222 West 150 St,
Cleveland, OH 44135",1-216-251-8500,1-216-251-4117,-81.804382,41.440044
La Quinta Inn & Suites Cleveland Airport West,"25105 Country Club Blvd,
North Olmsted, OH 44070",1-440-734-4477,1-440-734-0836,-81.905163,41.414013
La Quinta Inn Cleveland Independence,"6161 Quarry Ln,
Independence, OH 44131",1-216-447-1133,1-216-447-0135,-81.649205,41.394121
La Quinta Inn & Suites Cleveland Macedonia,"268 East Highland Rd,
Macedonia, OH 44056",1-330-468-5400,1-330-468-5500,-81.51709,41.299033
La Quinta Inn & Suites Cleveland,"130 Interstate Dr. NW,
Cleveland, TN 37312",1-423-813-7300,1-423-813-7111,-84.89023,35.19401
La Quinta Inn & Suites Cleveland,"1004 Hwy 59 South,
Cleveland, TX 77327",1-281-806-3007,1-281-592-4545,-95.09886,30.331694
La Quinta Inn & Suites Clifton Park,"1749 Route 9,
Clifton Park, NY 12065",1-518-579-6500,1-518-579-6505,-73.772059,42.870927
La Quinta Inn & Suites Clifton/Rutherford,"265 Rte 3 East,
Clifton, NJ 07014",1-973-778-6500,1-973-778-8724,-74.13415,40.827397
La Quinta Inn & Suites Clinton Historic Route 66,"2715 Chapman Road,
Clinton, OK 73601",1-580-547-4128,1-580-547-4131,-98.992745,35.494229
La Quinta Inn & Suites Clovis,"4521 North Prince St,
Clovis, NM 88101",1-575-763-8777,1-575-763-8778,-103.196299,34.443976
La Quinta Inn Clute Lake Jackson,"1126 South Hwy 332 West,
Clute, TX 77531-5399",1-979-265-7461,1-979-265-3804,-95.412173,29.010345
La Quinta Inn & Suites Cocoa Beach Oceanfront,"1 Hendry Ave,
Cocoa Beach, FL 32931",1-321-784-3126,1-321-799-0883,-80.603058,28.368703
La Quinta Inn Cocoa Beach-Port Canaveral,"1275 North Atlantic Ave,
Cocoa Beach, FL 32931",1-321-783-2252,1-321-323-5045,-80.610777,28.333593
La Quinta Inn & Suites Coeur d'Alene,"333 W Ironwood Dr.,
Coeur d Alene, ID 83814",1-208-665-9000,1-208-665-9900,-116.790947,47.696874
La Quinta Inn & Suites College Station South,"1838 Graham Road,
College Station, TX 77845",1-979-704-6100,1-979-704-6101,-96.283495,30.579473
La Quinta Inn College Station,"607 Texas Ave,
College Station, TX 77840",1-979-696-7777,1-979-696-0531,-96.333332,30.627416
La Quinta Inn & Suites Collinsville - St. Louis,"6 Gateway Drive,
Collinsville, IL 62234",1-618-855-8400,1-618-855-8408,-90.016968,38.682857
La Quinta Inn & Suites Colorado City,"880 East I-20,
Colorado City, TX 79512",1-325-307-5504,1-325-307-3244,-100.84643,32.409952
La Quinta Inn Colorado Springs Garden of the Gods,"4385 Sinton Rd,
Colorado Springs, CO 80907-4235",1-719-528-5060,1-719-598-0360,-104.829652,38.895653
La Quinta Inn & Suites Colorado Springs North,"8155 N Academy Blvd,
Colorado Springs, CO 80920",1-719-266-4300,1-719-344-5581,-104.803975,38.950545
La Quinta Inn & Suites Colorado Springs South AP,"2750 Geyser Dr,
Colorado Springs, CO 80906",1-719-527-4788,1-719-527-4789,-104.798017,38.792243
La Quinta Inn & Suites Columbia - Fort Meade,"7300 Crestmount Rd,
Jessup, MD 20794",1-410-799-1500,1-410-799-2716,-76.788753,39.171241
La Quinta Inn & Suites Columbia NE Fort Jackson,"1538 Horseshoe Dr,
Columbia, SC 29223",1-803-736-6400,1-803-788-7875,-80.946795,34.076073
La Quinta Inn Columbia SE / Fort Jackson,"7333 Garners Ferry Rd,
Columbia, SC 29209",1-803-783-5410,1-803-744-6839,-80.950136,33.969967
La Quinta Inn & Suites Columbia,"2500 Interstate 70 Dr Southwest,
Columbia, MO 65203",1-573-445-1899,1-573-445-4338,-92.37588,38.96832
La Quinta Inn Columbus Airport Area,"2447 Brice Rd,
Reynoldsburg, OH 43068-3455",1-614-866-6456,1-614-866-4522,-82.83178,39.936288
La Quinta Inn Columbus Dublin,"6145 Parkcenter Cir ,
Dublin, OH 43017-3584",1-614-792-8300,1-614-792-3333,-83.133174,40.077369
