"iso2","year","m04","m514","m014","m1524","m2534","m3544","m4554","m5564","m65","mu","f04","f514","f014","f1524","f2534","f3544","f4554","f5564","f65","fu"
"AE",2003,NA,NA,2,10,8,12,3,2,10,NA,NA,NA,4,9,5,3,3,2,4,NA
"AE",2004,NA,NA,1,7,6,7,3,1,7,NA,NA,NA,3,6,2,7,2,2,3,NA
"AE",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE",2006,0,0,0,5,3,7,3,1,4,NA,0,2,2,6,4,5,3,4,5,NA
"AE",2007,0,2,2,5,6,3,4,3,10,NA,0,1,1,8,6,3,2,0,0,NA
"AE",2008,0,0,0,6,1,7,5,3,6,0,0,0,0,10,4,1,1,3,3,0
"AF",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF",1997,NA,NA,0,10,6,3,5,2,0,NA,NA,NA,5,38,36,14,8,0,1,NA
"AF",1998,NA,NA,30,129,128,90,89,64,41,NA,NA,NA,45,350,419,194,118,61,20,NA
"AF",1999,NA,NA,8,55,55,47,34,21,8,NA,NA,NA,25,139,160,110,50,25,8,NA
"AF",2000,NA,NA,52,228,183,149,129,94,80,NA,NA,NA,93,414,565,339,205,99,36,NA
"AF",2001,NA,NA,129,379,349,274,204,139,103,NA,NA,NA,146,799,888,586,375,179,89,NA
"AF",2002,NA,NA,90,476,481,368,246,241,189,NA,NA,NA,192,1119,1251,792,526,320,218,NA
"AF",2003,NA,NA,127,511,436,284,256,288,203,NA,NA,NA,245,1152,1287,814,462,305,158,NA
"AF",2004,NA,NA,139,537,568,360,358,386,310,NA,NA,NA,256,1360,1561,1096,645,413,256,NA
"AF",2005,NA,NA,151,606,560,472,453,470,419,NA,NA,NA,320,1651,1959,1302,869,471,246,NA
"AF",2006,NA,NA,193,837,791,574,572,572,410,NA,NA,NA,442,2139,2340,1654,1006,630,309,NA
"AF",2007,NA,NA,186,856,840,597,566,630,507,NA,NA,NA,475,2224,2357,1708,1143,771,353,NA
"AF",2008,NA,NA,187,941,773,545,570,630,575,NA,NA,NA,428,2094,2449,1614,1149,817,364,NA
"AG",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1996,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,0,0,0,1,0,0,0,NA
"AG",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",2000,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,1,1,1,0,0,0,0,NA
"AG",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA
"AG",2002,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,2,0,1,0,0,0,0,NA
"AG",2003,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA
"AG",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",2005,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"AG",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AG",2007,0,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,NA
"AG",2008,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"AI",2004,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA
"AI",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1995,NA,NA,0,0,0,0,19,40,30,NA,NA,NA,0,1,0,0,13,20,16,NA
"AL",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL",1997,NA,NA,0,23,43,33,25,21,19,NA,NA,NA,1,16,19,14,9,10,8,NA
"AL",1998,NA,NA,1,17,21,24,18,26,24,NA,NA,NA,2,19,11,12,13,11,13,NA
"AL",1999,NA,NA,0,13,23,25,19,15,15,NA,NA,NA,0,5,13,11,5,8,16,NA
"AL",2000,NA,NA,2,19,21,14,24,19,16,NA,NA,NA,3,11,10,8,8,5,11,NA
"AL",2001,NA,NA,3,13,18,17,19,20,30,NA,NA,NA,1,12,10,5,7,7,9,NA
"AL",2002,NA,NA,0,21,27,29,19,23,25,NA,NA,NA,2,20,19,9,6,8,17,NA
"AL",2003,NA,NA,0,28,19,32,16,22,19,NA,NA,NA,2,13,8,6,14,12,20,NA
"AL",2004,NA,NA,5,12,19,21,24,23,20,NA,NA,NA,2,12,12,8,11,10,22,NA
"AL",2005,0,0,0,26,21,16,31,20,37,0,0,0,0,3,9,5,5,5,18,0
"AL",2006,1,4,5,24,19,22,21,19,20,0,0,2,2,12,8,7,7,7,13,0
"AL",2007,0,0,0,19,13,16,24,16,19,0,0,2,2,13,9,7,7,11,9,0
"AL",2008,1,0,1,23,26,13,19,13,16,NA,0,1,1,20,10,8,5,5,10,NA
"AM",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AM",1995,NA,NA,1,18,16,11,10,8,1,NA,NA,NA,1,1,7,2,1,1,NA,NA
"AM",1996,NA,NA,2,53,100,51,43,30,7,NA,NA,NA,0,9,11,9,8,4,0,NA
"AM",1997,NA,NA,2,85,59,77,51,34,12,NA,NA,NA,3,16,22,17,7,14,1,NA
"AM",1998,NA,NA,2,159,90,79,39,17,15,NA,NA,NA,1,21,20,11,10,5,6,NA
"AM",1999,NA,NA,4,151,88,115,76,37,20,NA,NA,NA,6,22,15,20,6,9,7,NA
"AM",2000,NA,NA,2,152,130,131,63,26,21,NA,NA,NA,1,24,27,24,8,8,4,NA
"AM",2001,NA,NA,2,154,120,93,54,24,9,NA,NA,NA,1,40,31,22,10,7,5,NA
"AM",2002,NA,NA,1,95,63,109,93,21,14,NA,NA,NA,2,16,24,32,36,4,1,NA
"AM",2003,NA,NA,12,120,98,75,104,49,18,NA,NA,NA,2,29,31,13,12,9,3,NA
"AM",2004,NA,NA,2,130,72,76,62,25,24,NA,NA,NA,1,24,17,12,10,3,3,NA
"AM",2005,1,2,3,170,104,83,84,30,24,0,0,3,3,27,21,10,11,4,7,0
"AM",2006,0,0,0,113,116,96,98,38,17,0,0,3,3,28,29,16,15,7,4,0
"AM",2007,0,1,1,81,87,100,92,29,20,0,0,2,2,31,22,11,7,7,7,0
"AM",2008,0,0,0,53,103,74,87,37,15,0,0,4,4,44,25,10,14,10,11,0
"AN",1996,NA,NA,0,0,0,0,1,1,1,NA,NA,NA,0,0,0,1,0,0,0,NA
"AN",1997,NA,NA,0,0,1,1,0,1,3,NA,NA,NA,0,0,2,2,1,1,1,NA
"AN",1998,NA,NA,0,0,0,0,0,1,2,NA,NA,NA,0,1,0,2,1,0,0,NA
"AN",1999,NA,NA,0,0,1,0,1,0,0,NA,NA,NA,0,1,1,0,0,0,0,NA
"AN",2000,NA,NA,0,0,1,2,0,0,0,NA,NA,NA,0,0,1,0,0,1,0,NA
"AN",2001,NA,NA,0,0,1,5,0,0,0,NA,NA,NA,0,0,1,0,0,1,0,NA
"AN",2002,NA,NA,0,1,1,3,2,3,1,NA,NA,NA,0,1,0,0,1,0,1,NA
"AN",2003,NA,NA,0,0,2,1,0,0,3,NA,NA,NA,0,0,1,1,0,1,0,NA
"AN",2004,NA,NA,1,1,0,4,3,0,1,NA,NA,NA,0,0,NA,1,0,0,0,NA
"AN",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2006,0,0,0,0,0,2,1,1,0,NA,0,1,1,0,0,0,0,0,0,NA
"AN",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AN",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AO",1995,NA,NA,386,724,562,346,224,155,14,NA,NA,NA,371,707,443,264,248,130,18,NA
"AO",1996,NA,NA,360,1036,926,1027,469,272,169,NA,NA,NA,388,1066,963,615,370,242,113,NA
"AO",1997,NA,NA,419,913,1026,819,507,304,193,NA,NA,NA,431,1165,1007,627,411,234,145,NA
"AO",1998,NA,NA,240,915,950,839,470,219,135,NA,NA,NA,297,1084,970,623,319,169,92,NA
"AO",1999,NA,NA,391,1134,1237,973,518,314,234,NA,NA,NA,459,1197,1157,743,474,217,194,NA
"AO",2000,NA,NA,186,999,1003,912,482,312,194,NA,NA,NA,247,1142,1091,844,417,200,120,NA
"AO",2001,NA,NA,230,892,752,648,420,197,173,NA,NA,NA,279,993,869,647,323,200,182,NA
"AO",2002,NA,NA,435,2223,2292,1915,1187,624,444,NA,NA,NA,640,2610,2208,1600,972,533,305,NA
"AO",2003,NA,NA,409,2355,2598,1908,1090,512,361,NA,NA,NA,591,3078,2641,1747,1157,395,129,NA
"AO",2004,NA,NA,554,2684,2659,1998,1196,561,321,NA,NA,NA,733,3198,2772,1854,1029,505,269,NA
"AO",2005,NA,NA,520,2549,2797,1918,1255,665,461,NA,NA,NA,704,2926,2682,1797,1138,581,417,NA
"AO",2006,NA,NA,540,2632,3049,2182,1397,729,428,NA,NA,NA,689,2851,2892,1990,1223,583,314,NA
"AO",2007,NA,NA,484,2824,3197,2255,1357,699,465,NA,NA,NA,703,2943,2721,1812,1041,554,367,NA
"AO",2008,NA,NA,367,2970,3493,2418,1480,733,420,0,NA,NA,512,3199,2786,2082,1209,556,337,0
"AR",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AR",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
